tasks, systime
1, 0:06.83
2, 0:04.12
3, 0:02.95
4, 0:02.37
5, 0:02.23
6, 0:02.01
7, 0:01.89
8, 0:01.76
9, 0:01.77
10, 0:01.73
11, 0:01.67
12, 0:01.61
13, 0:01.69
14, 0:01.63
15, 0:01.64
16, 0:01.69
17, 0:01.66
18, 0:01.62
19, 0:01.71
20, 0:01.81
21, 0:01.75
22, 0:01.73
23, 0:01.81
24, 0:01.84
25, 0:01.87
26, 0:01.88
27, 0:01.90
28, 0:01.87
29, 0:01.85
30, 0:01.82
31, 0:01.85
32, 0:01.69
