tasks, systime
1, 0:00.64
2, 0:00.62
3, 0:00.60
4, 0:00.64
5, 0:00.71
6, 0:00.73
7, 0:00.76
8, 0:00.69
9, 0:00.71
10, 0:00.76
11, 0:00.79
12, 0:00.77
13, 0:00.81
14, 0:00.82
15, 0:00.82
16, 0:00.87
17, 0:00.90
18, 0:00.91
19, 0:00.93
20, 0:00.97
21, 0:00.96
22, 0:00.96
23, 0:01.02
24, 0:01.04
25, 0:01.05
26, 0:01.09
27, 0:01.16
28, 0:01.16
29, 0:01.11
30, 0:01.16
31, 0:01.17
32, 0:01.04
